Feature Category,Feature,Sub-Feature,Description,BE Estimate (minutes),FE Estimate (minutes),Notes
Authentication & User Management,User Registration & Onboarding,Sign-up process with email verification (OTP),Implementation of sign-up flow with email OTP verification,,120,UI exists - requires integration with BE API
Authentication & User Management,User Registration & Onboarding,User profile creation,Creating user profile during registration,,90,UI exists - integrate with BE endpoints
Authentication & User Management,User Registration & Onboarding,Company profile setup during onboarding,Company setup flow after successful registration,,180,UI exists - needs flow improvements and validation
Authentication & User Management,User Registration & Onboarding,Password management (reset change),Forgot password and change password workflows,,120,Simple UI updates and API integration
Authentication & User Management,Login & Authentication,JWT-based authentication,Frontend implementation of JWT handling,,90,Token handling and storage mechanism
Authentication & User Management,Login & Authentication,Session management,Handling user sessions client-side,,120,Session timeouts and refresh mechanisms
Authentication & User Management,Login & Authentication,Role-based access control,UI adaptations based on user roles,,180,Access restrictions in routes and components
Authentication & User Management,User Profile Management,Profile editing,Edit user profile information,,90,UI exists - integrate with API
Authentication & User Management,User Profile Management,Avatar/photo upload,Photo upload and preview functionality,,120,Crop/resize implementation needed
Authentication & User Management,User Profile Management,Email verification,Frontend email verification workflow,,60,UI exists - just needs API integration
Authentication & User Management,User Profile Management,Personal settings,User preferences and settings,,90,Settings panel integration
Authentication & User Management,Role & Permission System,Admin role,Admin-specific UI elements and permissions,,120,Conditional rendering based on roles
Authentication & User Management,Role & Permission System,Manager role,Manager-specific UI and permissions,,120,Role-based UI elements
Authentication & User Management,Role & Permission System,Staff/employee role,Employee-specific UI components,,120,Employee dashboards and features
Authentication & User Management,Role & Permission System,Client/customer role,Client portal specific components,,180,Client-facing features
Authentication & User Management,Role & Permission System,Granular permission settings,Fine-grained permission checks in UI,,240,Permission-based feature access
Company Management,Company Profile,Contact information,Company contact details management,,60,Simple form integration
Company Management,Company Profile,Logo and brand settings,Logo upload and brand color management,,120,Image upload and preview functionality
Company Management,Company Profile,Address and location,Address form with validation,,90,Form validation and formatting
Company Management,Company Profile,Business details,Business information form,,60,Form integration with API
Company Management,Company Profile,Tax/VAT settings,Tax settings and configuration,,90,Tax form fields and validation
Company Management,Team Management,Add/edit/remove team members,Team member CRUD operations,,180,UI exists - integrate with API endpoints
Company Management,Team Management,Assign roles and permissions,Role assignment interface,,120,Role selection UI and API integration
Company Management,Team Management,Team schedules and availability,Schedule management UI,,240,Calendar interface updates
